id,conversation_id,sender,body,timestamp,contact_id,total_tokens,metadata
107,7,"contact","[""hola"",""que tal""]","2025-07-12T21:13:26.462+00:00",22,,[object Object]
108,7,"contact","[""hola"",""que tal""]","2025-07-12T21:17:02.288+00:00",22,,[object Object]
109,7,"contact","[""hola"",""que tal""]","2025-07-12T21:17:03.219+00:00",22,,[object Object]
110,7,"contact","[""hola"",""tengo dudas""]","2025-07-12T21:24:30.044+00:00",22,,[object Object]
2,1,"bot","Hola Andrés, ¿en qué puedo ayudarte?","2025-07-10T08:01:30+00:00",1,,[object Object]
111,7,"contact","[""hola"",""tengo dudas""]","2025-07-12T21:24:32.218+00:00",22,,[object Object]
112,7,"contact","[""hola"",""que hay""]","2025-07-12T21:25:46.102+00:00",22,,[object Object]
113,7,"contact","[""hola"",""que hay""]","2025-07-12T21:25:47.742+00:00",22,,[object Object]
114,7,"contact","[""Hola"",""que hay para hoy""]","2025-07-13T06:50:44.476+00:00",22,,[object Object]
115,7,"contact","[""Hola"",""que hay para hoy""]","2025-07-13T06:50:44.664+00:00",22,,[object Object]
3,3,"contact","Gracias, ya resolvieron mi caso.","2025-07-09T15:31:00+00:00",5,,[object Object]
116,7,"bot","{""parte_1"":""¡Hola! Hoy es domingo 13 de julio y tenemos dos eventos increíbles para ti en Dubai: *MY BOYFRIEND IS OUT OF TOWN* en la noche (11 PM–3 AM), una fiesta en club con música hip hop, reggaetón, afrohouse y más."",""parte_2"":""*Pool Tribe Brunch* durante el día (1 PM–7 PM), un brunch con piscina para relajarte y disfrutar, apto para todas las edades. ¿Quieres que te agregue a la lista de invitados o prefieres reservar una mesa VIP para alguno de estos eventos?""}","2025-07-13T06:51:01.419+00:00",22,,[object Object]
117,7,"contact","[""cuanto cuesta el pool tribe?""]","2025-07-13T06:51:58.153+00:00",22,,[object Object]
118,7,"bot","{""parte_1"":""El evento Pool Tribe Brunch tiene entrada gratuita para mujeres y para hombres el costo es entre 100 y 250 AED, siempre con bebidas incluidas."",""parte_2"":""Es un evento diurno los domingos, de 1 PM a 7 PM, y es para todas las edades, aunque la bebida alcohólica es solo para mayores de 21 años.""}","2025-07-13T06:52:10.42+00:00",22,,[object Object]
1,2,"contact","Hola, ¿qué opciones de soporte tienen?","2025-07-10T08:01:00+00:00",5,,[object Object]
4,3,"contact","[""Nos fuimossssssss"",""Nos fuimossssssss""]","2025-07-11T07:18:41.481+00:00",5,,[object Object]
5,3,"contact","[""Nos fuimossssssss"",""Nos fuimossssssss""]","2025-07-11T07:18:41.481+00:00",5,,[object Object]
12,7,"contact","[""Soy Andres, que tienes par ahoy?""]","2025-07-12T05:43:27.261+00:00",22,,[object Object]
13,7,"contact","[""hola"",""que hay pa hoy""]","2025-07-12T10:35:50.6+00:00",22,,[object Object]
14,8,"contact","[""Ponga su cuarto en 800€ y el chiqui en 500€"",""Y ya en el chat vamos tanteando y si algo le subimos el precio o bajamos"",""Depende de la persona y ya"",""Lo duro es alquilar ese cuarto chiquito""]","2025-07-12T10:36:06.285+00:00",23,,[object Object]
15,8,"contact","[""Ponga su cuarto en 800€ y el chiqui en 500€"",""Y ya en el chat vamos tanteando y si algo le subimos el precio o bajamos"",""Depende de la persona y ya"",""Lo duro es alquilar ese cuarto chiquito"",""Y Decile a la irlandesa que si conoce a alguien que diga""]","2025-07-12T10:36:17.018+00:00",23,,[object Object]
16,7,"contact","[""hola"",""que hay pa hoy""]","2025-07-12T10:36:19.766+00:00",22,,[object Object]
17,8,"contact","[""Ponga su cuarto en 800€ y el chiqui en 500€"",""Y ya en el chat vamos tanteando y si algo le subimos el precio o bajamos"",""Depende de la persona y ya"",""Lo duro es alquilar ese cuarto chiquito"",""Y Decile a la irlandesa que si conoce a alguien que diga""]","2025-07-12T10:36:21.278+00:00",23,,[object Object]
18,8,"contact","[""Ponga su cuarto en 800€ y el chiqui en 500€"",""Y ya en el chat vamos tanteando y si algo le subimos el precio o bajamos"",""Depende de la persona y ya"",""Lo duro es alquilar ese cuarto chiquito"",""Y Decile a la irlandesa que si conoce a alguien que diga""]","2025-07-12T10:36:30.388+00:00",23,,[object Object]
